Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Year,Outlet_Size,Outlet_Location_Type,OUTLET TYPE,SALES
FDA15,9.3,Low Fat,1.60%,Dairy,$249.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,735.14"
DRC01,5.92,Regular,1.93%,Soft Drinks,$48.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,$443.42
,17.5,Low Fat,1.68%,Meat,$141.62,OUT049ti,1999,Medium,Tier 1,Supermarket Type1,"$2,097.27"
FDX07,19.2,Regular,0.00%,Fruits and Vegetables,$182.10,OUT010,1998,null,Tier 3,Grocery Store,$732.38
NCD19,8.93,Low Fat,0.00%,Household,$53.86,OUT013,1987,High,Tier 3,Supermarket Type1,$994.71
FDP36,10.395,Regular,0.00%,Baking Goods,$51.40,OUT018,2009,Medium,Tier 3,Supermarket Type2,$556.61
FDO10,13.65,Regular,1.27%,Snack Foods,$57.66,OUT013,1987,High,Tier 3,Supermarket Type1,$343.55
FDP10,null,Low Fat,12.75%,Snack Foods,$107.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,022.76"
FDH17,16.2,Regular,1.67%,Frozen Foods,$96.97,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,076.60"
FDU28,19.2,Regular,9.44%,Frozen Foods,$187.82,OUT017,2007,null,Tier 2,Supermarket Type1,"$4,710.54"
FDY07,11.8,Low Fat,0.00%,Fruits and Vegetables,$45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,516.03"
FDA03,18.5,Regular,4.55%,Dairy,$144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,187.15"
FDX32,15.1,Regular,10.00%,Fruits and Vegetables,$145.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,589.26"
FDS46,17.6,Regular,4.73%,Snack Foods,$119.68,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,145.21"
